CMS Certification Number (CCN),Provider Name,Provider Address,City/Town,State,ZIP Code,Location,Processing Date,email
045313,THE BLOSSOMS AT CONWAY REHAB & NURSING CENTER,3501 COLLEGE AVENUE,CONWAY,AR,72034,"3501 COLLEGE AVENUE,CONWAY,AR,72034",2026-04-01,
045314,BARNES HEALTHCARE,1010 BARNES STREET,LONOKE,AR,72086,"1010 BARNES STREET,LONOKE,AR,72086",2026-04-01,
045315,LAKESIDE HEALTH AND REHAB,1207 WILLOW RUN ROAD,LAKE CITY,AR,72437,"1207 WILLOW RUN ROAD,LAKE CITY,AR,72437",2026-04-01,
045317,WOOD-LAWN HEIGHTS,2800 NEELEY STREET,BATESVILLE,AR,72501,"2800 NEELEY STREET,BATESVILLE,AR,72501",2026-04-01,
045318,CHAMBERS HEALTH AND REHABILITATION,1001 EAST PARK STREET,CARLISLE,AR,72024,"1001 EAST PARK STREET,CARLISLE,AR,72024",2026-04-01,
045322,PIONEER THERAPY AND LIVING,1506 EAST MAIN STREET,MELBOURNE,AR,72556,"1506 EAST MAIN STREET,MELBOURNE,AR,72556",2026-04-01,
045323,THE BLOSSOMS AT WHITE RIVER REHAB & NURSING CENTER,1311 NORTH PECAN ST,NEWPORT,AR,72112,"1311 NORTH PECAN ST,NEWPORT,AR,72112",2026-04-01,
045326,THE BLOSSOMS AT VAN BUREN REHAB AND NURSING CENTER,2010 MAIN STREET,VAN BUREN,AR,72956,"2010 MAIN STREET,VAN BUREN,AR,72956",2026-04-01,
045327,RIDGECREST HEALTH AND REHABILITATION,5504 E JOHNSON AVE,JONESBORO,AR,72401,"5504 E JOHNSON AVE,JONESBORO,AR,72401",2026-04-01,
045334,THE BLOSSOMS AT NEWPORT REHAB & NURSING CENTER,326 LINDLEY LANE,NEWPORT,AR,72112,"326 LINDLEY LANE,NEWPORT,AR,72112",2026-04-01,
045337,HEATHER MANOR NURSING AND REHABILITATION CENTER,400 WEST 23RD STREET,HOPE,AR,71801,"400 WEST 23RD STREET,HOPE,AR,71801",2026-04-01,
045338,QUAPAW CARE AND REHABILITATION CENTER LLC,138 BRIGHTON TERRACE,HOT SPRINGS,AR,71913,"138 BRIGHTON TERRACE,HOT SPRINGS,AR,71913",2026-04-01,
045339,ATKINS NURSING AND REHABILITATION CENTER,605 NORTHWEST 7TH STREET,ATKINS,AR,72823,"605 NORTHWEST 7TH STREET,ATKINS,AR,72823",2026-04-01,
045341,MEADOWVIEW HEALTHCARE AND REHAB,825 NORTH GASKILL,HUNTSVILLE,AR,72740,"825 NORTH GASKILL,HUNTSVILLE,AR,72740",2026-04-01,
045342,The Blossoms at Nashville Rehab and Nursing Center,810 NORTH 8TH ST,NASHVILLE,AR,71852,"810 NORTH 8TH ST,NASHVILLE,AR,71852",2026-04-01,
045343,NURSING AND REHABILITATION CENTER AT GOOD SHEPHERD,3001 ALDERSGATE ROAD,LITTLE ROCK,AR,72205,"3001 ALDERSGATE ROAD,LITTLE ROCK,AR,72205",2026-04-01,
045346,DIERKS HEALTH AND REHAB OF DIERKS,402 S ARKANSAS AVENUE,DIERKS,AR,71833,"402 S ARKANSAS AVENUE,DIERKS,AR,71833",2026-04-01,
045351,CARE MANOR NURSING AND REHAB,804 BURNETT DRIVE,MOUNTAIN HOME,AR,72653,"804 BURNETT DRIVE,MOUNTAIN HOME,AR,72653",2026-04-01,
045352,EAGLECREST NURSING AND REHAB,916 HIGHWAY 62/412,ASH FLAT,AR,72513,"916 HIGHWAY 62/412,ASH FLAT,AR,72513",2026-04-01,
045354,FIANNA HILLS NURSING AND REHABILITATION CENTER,8411 SOUTH 28TH STREET,FORT SMITH,AR,72908,"8411 SOUTH 28TH STREET,FORT SMITH,AR,72908",2026-04-01,
045356,"SILOAM HEALTHCARE, LLC",811 WEST ELGIN STREET,SILOAM SPRINGS,AR,72761,"811 WEST ELGIN STREET,SILOAM SPRINGS,AR,72761",2026-04-01,
045357,PREMIER AT THE SPRINGS,3600 RICHARDS ROAD,NORTH LITTLE ROCK,AR,72117,"3600 RICHARDS ROAD,NORTH LITTLE ROCK,AR,72117",2026-04-01,
045358,THE GREEN HOUSE COTTAGES OF HOMEWOOD,215 HOMEWOOD CIRCLE,MENA,AR,71953,"215 HOMEWOOD CIRCLE,MENA,AR,71953",2026-04-01,
045359,THE BLOSSOMS AT CUMBERLAND REHAB & NURSING CENTER,1516  CUMBERLAND ST,LITTLE ROCK,AR,72202,"1516  CUMBERLAND ST,LITTLE ROCK,AR,72202",2026-04-01,
045361,PROMENADE HEALTH AND REHABILITATION,1101 S PROMENADE BOULEVARD,ROGERS,AR,72758,"1101 S PROMENADE BOULEVARD,ROGERS,AR,72758",2026-04-01,
045363,COVINGTON COURT HEALTH AND REHABILITATION CENTER,4500 OLD GREENWOOD RD,FORT SMITH,AR,72903,"4500 OLD GREENWOOD RD,FORT SMITH,AR,72903",2026-04-01,
045364,CHAPEL RIDGE HEALTH AND REHAB,4623 ROGERS AVE,FORT SMITH,AR,72903,"4623 ROGERS AVE,FORT SMITH,AR,72903",2026-04-01,
045365,DEWITT NURSING HOME,1605 SOUTH MADISON ST,DE WITT,AR,72042,"1605 SOUTH MADISON ST,DE WITT,AR,72042",2026-04-01,
045366,HERITAGE SQUARE HEALTHCARE CENTER,710 NO RUDDLE ROAD,BLYTHEVILLE,AR,72316,"710 NO RUDDLE ROAD,BLYTHEVILLE,AR,72316",2026-04-01,
045367,WINDCREST HEALTH AND REHAB INC,2455 LOWELL ROAD,SPRINGDALE,AR,72764,"2455 LOWELL ROAD,SPRINGDALE,AR,72764",2026-04-01,
045369,MOUNTAIN MEADOWS HEALTH AND REHABILITATION,1680 BATESVILLE BOULEVARD,BATESVILLE,AR,72501,"1680 BATESVILLE BOULEVARD,BATESVILLE,AR,72501",2026-04-01,
045371,"WESTWOOD HEALTH AND REHAB, INC",802 S WEST END STREET,SPRINGDALE,AR,72764,"802 S WEST END STREET,SPRINGDALE,AR,72764",2026-04-01,
045372,THE BLOSSOMS AT WHITE HALL REHAB & NURSING CENTER,9209 DOLLARWAY ROAD,WHITE HALL,AR,71602,"9209 DOLLARWAY ROAD,WHITE HALL,AR,71602",2026-04-01,
045373,"BRADFORD HOUSE NURSING AND REHAB, LLC",1202 S E 30TH STREET,BENTONVILLE,AR,72712,"1202 S E 30TH STREET,BENTONVILLE,AR,72712",2026-04-01,
045374,ROBINSON NURSING AND REHABILITATION CENTER LLC,519 DONOVAN BRILEY BLVD.,NORTH LITTLE ROCK,AR,72118,"519 DONOVAN BRILEY BLVD.,NORTH LITTLE ROCK,AR,72118",2026-04-01,
045376,"Sherwood Nursing & Rehabilitation Center, Inc",245 Indian Bay Drive,Sherwood,AR,72120,"245 Indian Bay Drive,Sherwood,AR,72120",2026-04-01,
045377,THE GREEN HOUSE COTTAGES OF SOUTHERN HILLS,701 SOUTH MAIN STREET,RISON,AR,71665,"701 SOUTH MAIN STREET,RISON,AR,71665",2026-04-01,
045378,WOODLAND HILLS HEALTHCARE AND REHABILITATION,1320 WEST BRADEN STREET,JACKSONVILLE,AR,72076,"1320 WEST BRADEN STREET,JACKSONVILLE,AR,72076",2026-04-01,
045379,Pine Bluff Transitional Care,6810 South Hazel Street,Pine Bluff,AR,71603,"6810 South Hazel Street,Pine Bluff,AR,71603",2026-04-01,
045380,ST ELIZABETH'S PLACE,3010 MIDDLEFIELD DRIVE,JONESBORO,AR,72401,"3010 MIDDLEFIELD DRIVE,JONESBORO,AR,72401",2026-04-01,
045383,THE SPRINGS OF WALDRON,1369 WEST 6TH STREET,WALDRON,AR,72958,"1369 WEST 6TH STREET,WALDRON,AR,72958",2026-04-01,
045384,WOODBRIAR NURSING HOME,204 CATHERINE ST,HARRISBURG,AR,72432,"204 CATHERINE ST,HARRISBURG,AR,72432",2026-04-01,
045385,THE BLOSSOMS AT NORTH LITTLE ROCK  REHAB & NURSING,2501 JOHN ASHLEY DRIVE,NORTH LITTLE ROCK,AR,72114,"2501 JOHN ASHLEY DRIVE,NORTH LITTLE ROCK,AR,72114",2026-04-01,
045387,"BRIARWOOD NURSING AND REHABILITATION CENTER,INC",516 SO RODNEY PARHAM RD,LITTLE ROCK,AR,72205,"516 SO RODNEY PARHAM RD,LITTLE ROCK,AR,72205",2026-04-01,
045390,PLEASANT VALLEY REHABILITATION AND NURSING,12111 HINSON ROAD,LITTLE ROCK,AR,72212,"12111 HINSON ROAD,LITTLE ROCK,AR,72212",2026-04-01,
045391,THREE RIVERS HEALTH AND REHABILITATION CENTER,33904 HIGHWAY 63 E,MARKED TREE,AR,72365,"33904 HIGHWAY 63 E,MARKED TREE,AR,72365",2026-04-01,
045392,SPRING CREEK HEALTH & REHAB,804 N 2ND ST,CABOT,AR,72023,"804 N 2ND ST,CABOT,AR,72023",2026-04-01,
045393,ENCORE HEALTHCARE AND REHABI OF MALVERN,1820 WEST MOLINE STREET,MALVERN,AR,72104,"1820 WEST MOLINE STREET,MALVERN,AR,72104",2026-04-01,
045396,"ST JOHNS PLACE OF ARKANSAS, LLC",1400 HWY 79/167 BYPASS,FORDYCE,AR,71742,"1400 HWY 79/167 BYPASS,FORDYCE,AR,71742",2026-04-01,
045398,NORTH HILLS LIFE CARE AND REHAB,27 E APPLEBY ROAD,FAYETTEVILLE,AR,72703,"27 E APPLEBY ROAD,FAYETTEVILLE,AR,72703",2026-04-01,
045402,"HIGHLANDS OF BELLA VISTA HEALTH & REHAB, LLC",670 ROGERS ROAD,BELLA VISTA,AR,72715,"670 ROGERS ROAD,BELLA VISTA,AR,72715",2026-04-01,
045404,THE SPRINGS OF RED OAK,260 LAKEPARK DRIVE,HOT SPRINGS,AR,71901,"260 LAKEPARK DRIVE,HOT SPRINGS,AR,71901",2026-04-01,
045407,THE MAPLES AT HAR-BER MEADOWS,6456 LYNCHS PRAIRIE COVE,SPRINGDALE,AR,72762,"6456 LYNCHS PRAIRIE COVE,SPRINGDALE,AR,72762",2026-04-01,
045409,"PRAIRIE GROVE HEALTH AND REHABILITATION, LLC",621 SOUTH MOCK STREET,PRAIRIE GROVE,AR,72753,"621 SOUTH MOCK STREET,PRAIRIE GROVE,AR,72753",2026-04-01,
045410,"LEGACY HEIGHTS NURSING AND REHAB, LLC",900 WEST 12TH ST,RUSSELLVILLE,AR,72801,"900 WEST 12TH ST,RUSSELLVILLE,AR,72801",2026-04-01,
045411,SUMMIT HEALTH & REHAB CENTER,506 NORTH LONG AVENUE,TAYLOR,AR,71861,"506 NORTH LONG AVENUE,TAYLOR,AR,71861",2026-04-01,
045412,"WILLOWBEND HEALTH AND REHABILITATION, LLC",830 CANAL STREET,MARION,AR,72364,"830 CANAL STREET,MARION,AR,72364",2026-04-01,
045413,METHODIST HEALTH AND REHAB,7425 EUPER LANE,FORT SMITH,AR,72903,"7425 EUPER LANE,FORT SMITH,AR,72903",2026-04-01,
045414,OZARK HEALTH NURSING AND REHAB  CENTER,2500 HIGHWAY 65 SOUTH,CLINTON,AR,72031,"2500 HIGHWAY 65 SOUTH,CLINTON,AR,72031",2026-04-01,
045416,TIMBERLANE HEALTH & REHABILITATION,2002 TIMBERWOOD ROAD,EL DORADO,AR,71730,"2002 TIMBERWOOD ROAD,EL DORADO,AR,71730",2026-04-01,
045417,ARKANSAS VETERANS HOME AT FAYETTEVILLE,1179 NORTH COLLEGE AVENUE,FAYETTEVILLE,AR,72703,"1179 NORTH COLLEGE AVENUE,FAYETTEVILLE,AR,72703",2026-04-01,
045418,THE BLOSSOMS AT OAKDALE REHAB & NURSING CENTER,101 CYNTHIA STREET,JUDSONIA,AR,72081,"101 CYNTHIA STREET,JUDSONIA,AR,72081",2026-04-01,
045419,"ASHTON PLACE HEALTH AND REHAB, LLC",318 STROZIER LANE,BARLING,AR,72923,"318 STROZIER LANE,BARLING,AR,72923",2026-04-01,
045421,Ashley Rehabilitation and Health Care Center,2600 N 22Nd Street,Rogers,AR,72756,"2600 N 22Nd Street,Rogers,AR,72756",2026-04-01,
045422,THE LAKES AT MAUMELLE HEALTH AND REHABILITATION,103 ALEXANDRIA DRIVE,MAUMELLE,AR,72113,"103 ALEXANDRIA DRIVE,MAUMELLE,AR,72113",2026-04-01,
045427,"SHILOH NURSING AND REHAB, LLC",1092 WEST STULTZ ROAD,SPRINGDALE,AR,72764,"1092 WEST STULTZ ROAD,SPRINGDALE,AR,72764",2026-04-01,
045428,EDGEWOOD HEALTH AND REHAB,1393 E DON TYSON PARKWAY,SPRINGDALE,AR,72764,"1393 E DON TYSON PARKWAY,SPRINGDALE,AR,72764",2026-04-01,
045430,The Springs of Brinkley,1214 North Main,Brinkley,AR,72021,"1214 North Main,Brinkley,AR,72021",2026-04-01,
045431,THE SPRINGS OF PINNACLE MOUNTAIN,6411 VALLEY RANCH DRIVE,LITTLE ROCK,AR,72223,"6411 VALLEY RANCH DRIVE,LITTLE ROCK,AR,72223",2026-04-01,
045432,THE SPRINGS OF BARROW,2600  JOHN BARROW ROAD,LITTLE ROCK,AR,72204,"2600  JOHN BARROW ROAD,LITTLE ROCK,AR,72204",2026-04-01,
045434,KATHERINE'S PLACE AT WEDINGTON,4405 WEST PERSIMMON STREET,FAYETTEVILLE,AR,72704,"4405 WEST PERSIMMON STREET,FAYETTEVILLE,AR,72704",2026-04-01,
045435,"Jamestown Nursing And Rehab, LLC",2001 Hampton Place,Rogers,AR,72758,"2001 Hampton Place,Rogers,AR,72758",2026-04-01,
045436,"PRESBYTERIAN VILLAGE, INC",500 BROOKSIDE DRIVE,LITTLE ROCK,AR,72205,"500 BROOKSIDE DRIVE,LITTLE ROCK,AR,72205",2026-04-01,
045438,TRINITY VILLAGE MEDICAL CENTER,6400 TRINITY DRIVE,PINE BLUFF,AR,71603,"6400 TRINITY DRIVE,PINE BLUFF,AR,71603",2026-04-01,
045440,HARRIS HEALTH AND REHAB,287 SOUTH COUNTRY CLUB ROAD,OSCEOLA,AR,72370,"287 SOUTH COUNTRY CLUB ROAD,OSCEOLA,AR,72370",2026-04-01,
045443,RANDOLPH COUNTY NURSING HOME,500 CAMP ROAD,POCAHONTAS,AR,72455,"500 CAMP ROAD,POCAHONTAS,AR,72455",2026-04-01,
045445,LAKE HAMILTON HEALTH AND REHAB,120 PITTMAN ROAD,HOT SPRINGS,AR,71913,"120 PITTMAN ROAD,HOT SPRINGS,AR,71913",2026-04-01,
045446,THE BLOSSOMS AT WEST DIXON REHAB & NURSING CENTER,2821 W DIXON RD,LITTLE ROCK,AR,72206,"2821 W DIXON RD,LITTLE ROCK,AR,72206",2026-04-01,
045447,GREENHURST NURSING CENTER,226 SKYLER DRIVE,CHARLESTON,AR,72933,"226 SKYLER DRIVE,CHARLESTON,AR,72933",2026-04-01,
045449,"CRESTPARK MARIANNA, L L C",700 WEST CHESTNUT,MARIANNA,AR,72360,"700 WEST CHESTNUT,MARIANNA,AR,72360",2026-04-01,
045450,THE BLOSSOMS AT MIDTOWN REHAB & NURSING CENTER,5720 WEST MARKHAM STREET,LITTLE ROCK,AR,72205,"5720 WEST MARKHAM STREET,LITTLE ROCK,AR,72205",2026-04-01,
045451,Creekside at the Springs,620 Noth Panther Avenue,Yellville,AR,72687,"620 Noth Panther Avenue,Yellville,AR,72687",2026-04-01,
045453,"GREYSTONE NURSING AND REHAB, LLC",121 SPRING VALLEY ROAD,CABOT,AR,72023,"121 SPRING VALLEY ROAD,CABOT,AR,72023",2026-04-01,
045454,"MITCHELL'S NURSING HOME, INC",501 W 10TH,DANVILLE,AR,72833,"501 W 10TH,DANVILLE,AR,72833",2026-04-01,
045455,"Hickory Heights Health And Rehab, Llc",#3 CHENAL HEIGHTS DRIVE,LITTLE ROCK,AR,72223,"#3 CHENAL HEIGHTS DRIVE,LITTLE ROCK,AR,72223",2026-04-01,
045457,EVERGREEN LIVING CENTER AT STAGECOACH,6907 HIGHWAY 5 NORTH,BRYANT,AR,72022,"6907 HIGHWAY 5 NORTH,BRYANT,AR,72022",2026-04-01,
045458,The Blossoms at Breckenridge Rehab & Nursing Cente,800 BROOKSIDE DRIVE,LITTLE ROCK,AR,72205,"800 BROOKSIDE DRIVE,LITTLE ROCK,AR,72205",2026-04-01,
045460,"COLONEL GLENN HEALTH AND REHAB, LLC",13700 DAVID O DODD ROAD,LITTLE ROCK,AR,72210,"13700 DAVID O DODD ROAD,LITTLE ROCK,AR,72210",2026-04-01,
045463,"BELVEDERE NURSING AND REHABILITATION CENTER, LLC",2600 PARK AVE,HOT SPRINGS,AR,71901,"2600 PARK AVE,HOT SPRINGS,AR,71901",2026-04-01,
045464,AMBERWOOD HEALTH AND REHABILITATION,6420 ALCOA ROAD,BENTON,AR,72015,"6420 ALCOA ROAD,BENTON,AR,72015",2026-04-01,
045465,"APPLE CREEK HEALTH AND REHAB, LLC",1570 W CENTERTON BLVD,CENTERTON,AR,72719,"1570 W CENTERTON BLVD,CENTERTON,AR,72719",2026-04-01,
045470,THE BLOSSOMS AT PRESCOTT REHAB & NURSING CENTER,700 MANOR RD,PRESCOTT,AR,71857,"700 MANOR RD,PRESCOTT,AR,71857",2026-04-01,
045471,HIRAM SHADDOX HEALTH AND REHAB,1100 PINETREE LANE,MOUNTAIN HOME,AR,72653,"1100 PINETREE LANE,MOUNTAIN HOME,AR,72653",2026-04-01,
045474,THE GREEN HOUSE COTTAGES OF NORTHWEST ARKANSAS,1303 NE LEGACY PARKWAY,BENTONVILLE,AR,72712,"1303 NE LEGACY PARKWAY,BENTONVILLE,AR,72712",2026-04-01,
045477,"MONETTE MANOR, LLC",669 HWY 139 NORTH,MONETTE,AR,72447,"669 HWY 139 NORTH,MONETTE,AR,72447",2026-04-01,
045479,"BROOKEN HILL HEALTH AND REHAB, LLC",9000 HWY 71 SOUTH,FORT SMITH,AR,72908,"9000 HWY 71 SOUTH,FORT SMITH,AR,72908",2026-04-01,
045480,QUAIL RUN HEALTH AND REHAB,100 COMMERCE DRIVE,TRUMANN,AR,72472,"100 COMMERCE DRIVE,TRUMANN,AR,72472",2026-04-01,
045481,CRAIGHEAD NURSING CENTER,5101 HARRISBURG RD,JONESBORO,AR,72404,"5101 HARRISBURG RD,JONESBORO,AR,72404",2026-04-01,
04E262,"MURFREESBORO REHAB AND NURSING, INC",110 W 13TH STREET,MURFREESBORO,AR,71958,"110 W 13TH STREET,MURFREESBORO,AR,71958",2026-04-01,
055003,"EUREKA REHABILITATION & WELLNESS CENTER, LP",2353 TWENTY THIRD ST,EUREKA,CA,95501,"2353 TWENTY THIRD ST,EUREKA,CA,95501",2026-04-01,
055008,EDGEMOOR HOSPITAL,655 PARK CENTER DRIVE,SANTEE,CA,92071,"655 PARK CENTER DRIVE,SANTEE,CA,92071",2026-04-01,
055013,EISENBERG VILLAGE,18855 VICTORY BL,RESEDA,CA,91335,"18855 VICTORY BL,RESEDA,CA,91335",2026-04-01,
055022,Mary Health of the Sick Convalescent & Nursing Hos,2929 Theresa Drive,Newbury Park,CA,91320,"2929 Theresa Drive,Newbury Park,CA,91320",2026-04-01,
055032,THE EARLWOOD,20820 EARL STREET,TORRANCE,CA,90503,"20820 EARL STREET,TORRANCE,CA,90503",2026-04-01,
055034,MOTION PICTURE AND T.V. HOSP D/P SNF,23388 MULHOLLAND DR.,WOODLAND HILLS,CA,91364,"23388 MULHOLLAND DR.,WOODLAND HILLS,CA,91364",2026-04-01,
055036,Maple Healthcare Center,2625 MAPLE AVE.,LOS ANGELES,CA,90011,"2625 MAPLE AVE.,LOS ANGELES,CA,90011",2026-04-01,
055041,The Beach Post-Acute,2725 PACIFIC AVENUE,LONG BEACH,CA,90806,"2725 PACIFIC AVENUE,LONG BEACH,CA,90806",2026-04-01,
055052,CALIFORNIA POST-ACUTE CARE,3615 E. IMPERIAL HIWY,LYNWOOD,CA,90262,"3615 E. IMPERIAL HIWY,LYNWOOD,CA,90262",2026-04-01,
055060,WESTWOOD POST ACUTE CARE,12121 SANTA MONICA BOULEVARD,LOS ANGELES,CA,90025,"12121 SANTA MONICA BOULEVARD,LOS ANGELES,CA,90025",2026-04-01,
055064,COTTONWOOD CANYON HEALTHCARE CENTER,1391 MADISON AVENUE,EL CAJON,CA,92021,"1391 MADISON AVENUE,EL CAJON,CA,92021",2026-04-01,
055070,SEACREST POST-ACUTE CARE  CENTER,1416 WEST 6TH STREET,SAN PEDRO,CA,90732,"1416 WEST 6TH STREET,SAN PEDRO,CA,90732",2026-04-01,
055070,SEACREST POST-ACUTE CARE  CENTER,1416 WEST 6TH STREET,SAN PEDRO,CA,90732,"1416 WEST 6TH STREET,SAN PEDRO,CA,90732",2026-04-01,
055072,ROSECRANS CARE CENTER,1140 WEST ROSECRANS AVENUE,GARDENA,CA,90247,"1140 WEST ROSECRANS AVENUE,GARDENA,CA,90247",2026-04-01,
055072,ROSECRANS CARE CENTER,1140 WEST ROSECRANS AVENUE,GARDENA,CA,90247,"1140 WEST ROSECRANS AVENUE,GARDENA,CA,90247",2026-04-01,
055076,Spring Valley Post Acute LLC,14973 Hesperia Rd,Victorville,CA,92395,"14973 Hesperia Rd,Victorville,CA,92395",2026-04-01,
055076,Spring Valley Post Acute LLC,14973 Hesperia Rd,Victorville,CA,92395,"14973 Hesperia Rd,Victorville,CA,92395",2026-04-01,
055077,CORAL COVE POST ACUTE,1730 GRAND AVE,LONG BEACH,CA,90804,"1730 GRAND AVE,LONG BEACH,CA,90804",2026-04-01,
055077,CORAL COVE POST ACUTE,1730 GRAND AVE,LONG BEACH,CA,90804,"1730 GRAND AVE,LONG BEACH,CA,90804",2026-04-01,
055078,PARKWAY HILLS NURSING & REHABILITATION,7760 PARKWAY DRIVE,LA MESA,CA,91942,"7760 PARKWAY DRIVE,LA MESA,CA,91942",2026-04-01,
055079,Mission View Health Center,1425 Woodside Drive,San Luis Obispo,CA,93401,"1425 Woodside Drive,San Luis Obispo,CA,93401",2026-04-01,
055084,RIVERBANK POST-ACUTE,2649 TOPEKA STREET,RIVERBANK,CA,95367,"2649 TOPEKA STREET,RIVERBANK,CA,95367",2026-04-01,
055092,YUBA CITY POST ACUTE,1220 PLUMAS ST,YUBA CITY,CA,95991,"1220 PLUMAS ST,YUBA CITY,CA,95991",2026-04-01,
055099,Creekside Healthcare Center,1900 CHURCH LANE,SAN PABLO,CA,94806,"1900 CHURCH LANE,SAN PABLO,CA,94806",2026-04-01,
055104,SUNSET MANOR CONV HOSP,2720 NEVADA AVENUE,EL MONTE,CA,91733,"2720 NEVADA AVENUE,EL MONTE,CA,91733",2026-04-01,
055107,BANCROFT HEALTHCARE CENTER,1475 BANCROFT AVENUE,SAN LEANDRO,CA,94577,"1475 BANCROFT AVENUE,SAN LEANDRO,CA,94577",2026-04-01,
055109,DRIFTWOOD HEALTHCARE CENTER - SANTA CRUZ,675 24TH AVENUE,SANTA CRUZ,CA,95062,"675 24TH AVENUE,SANTA CRUZ,CA,95062",2026-04-01,
055111,FOUNTAIN VIEW SUBACUTE AND NURSING CENTER,5310 FOUNTAIN AVE,LOS ANGELES,CA,90029,"5310 FOUNTAIN AVE,LOS ANGELES,CA,90029",2026-04-01,
055114,Arbor Hills Nursing Center,7800 PARKWAY DRIVE,LA MESA,CA,91942,"7800 PARKWAY DRIVE,LA MESA,CA,91942",2026-04-01,
055115,HOLLENBECK PALMS,573 S. BOYLE AVE.,LOS ANGELES,CA,90033,"573 S. BOYLE AVE.,LOS ANGELES,CA,90033",2026-04-01,
055116,LINDA MAR CARE CENTER,751 SAN PEDRO TERRACE ROAD,PACIFICA,CA,94044,"751 SAN PEDRO TERRACE ROAD,PACIFICA,CA,94044",2026-04-01,
055119,WEST PICO TERRACE HEALTHCARE & WELLNESS CENTRE LP,6070 W. PICO BOULEVARD,LOS ANGELES,CA,90035,"6070 W. PICO BOULEVARD,LOS ANGELES,CA,90035",2026-04-01,
055121,PELICAN RIDGE POST ACUTE,466 FLAGSHIP ROAD,NEWPORT BEACH,CA,92663,"466 FLAGSHIP ROAD,NEWPORT BEACH,CA,92663",2026-04-01,
055123,BEACHSIDE POST ACUTE,3294 SANTA FE AVENUE,LONG BEACH,CA,90810,"3294 SANTA FE AVENUE,LONG BEACH,CA,90810",2026-04-01,
055126,CHINO VALLEY HEALTH CARE CENTE,2351 S TOWNE AVENUE,POMONA,CA,91766,"2351 S TOWNE AVENUE,POMONA,CA,91766",2026-04-01,
055135,MONTROSE HEALTHCARE CENTER,2123 VERDUGO BLVD.,MONTROSE,CA,91020,"2123 VERDUGO BLVD.,MONTROSE,CA,91020",2026-04-01,
055136,BERKLEY WEST HEALTHCARE CENTER,1623 ARIZONA AVENUE,SANTA MONICA,CA,90404,"1623 ARIZONA AVENUE,SANTA MONICA,CA,90404",2026-04-01,
055142,MAGNOLIA GARDENS CONVALESCENT HOSPITAL,17922 SAN FERNANDO MISSION RD,GRANADA HILLS,CA,91344,"17922 SAN FERNANDO MISSION RD,GRANADA HILLS,CA,91344",2026-04-01,
055146,NORTH VALLEY NURSING CENTER,7660 WYNGATE ST,TUJUNGA,CA,91042,"7660 WYNGATE ST,TUJUNGA,CA,91042",2026-04-01,
055150,DIABLO VALLEY POST ACUTE,3806 CLAYTON ROAD,CONCORD,CA,94521,"3806 CLAYTON ROAD,CONCORD,CA,94521",2026-04-01,
055153,MONTEBELLO CARE CENTER,1035 W BEVERLY BLVD,MONTEBELLO,CA,90640,"1035 W BEVERLY BLVD,MONTEBELLO,CA,90640",2026-04-01,
055155,OCEAN POINTE HEALTHCARE CENTER,1330 17TH STREET,SANTA MONICA,CA,90404,"1330 17TH STREET,SANTA MONICA,CA,90404",2026-04-01,
055156,ST PAUL'S TOWERS,100 BAY PLACE,OAKLAND,CA,94610,"100 BAY PLACE,OAKLAND,CA,94610",2026-04-01,
055157,VIRGIL REHABILITATION & SKILLED NURSING CENTER,975 NORTH VIRGIL AVENUE,LOS ANGELES,CA,90029,"975 NORTH VIRGIL AVENUE,LOS ANGELES,CA,90029",2026-04-01,
055160,"PAVILION ON PICO HEALTHCARE & WELLNESS CENTRE, LP",5916 W. PICO BOULEVARD,LOS ANGELES,CA,90035,"5916 W. PICO BOULEVARD,LOS ANGELES,CA,90035",2026-04-01,
055162,MONTEREY PARK CONV HOSP,416 N GARFIELD AVE,MONTEREY PARK,CA,91754,"416 N GARFIELD AVE,MONTEREY PARK,CA,91754",2026-04-01,
055163,"MONTECITO HEIGHTS HEALTHCARE & WELLNESS CENTRE, LP",4585 N. FIGUEROA ST.,LOS ANGELES,CA,90065,"4585 N. FIGUEROA ST.,LOS ANGELES,CA,90065",2026-04-01,
055167,VERNON HEALTHCARE CENTER,1037 W. VERNON AVENUE,LOS ANGELES,CA,90037,"1037 W. VERNON AVENUE,LOS ANGELES,CA,90037",2026-04-01,
055168,SOCAL POST-ACUTE CARE,7931 S. SORENSON AVE.,WHITTIER,CA,90606,"7931 S. SORENSON AVE.,WHITTIER,CA,90606",2026-04-01,
055169,JEWISH HOME & REHAB CENTER D/P SNF,302 SILVER AVENUE,SAN FRANCISCO,CA,94112,"302 SILVER AVENUE,SAN FRANCISCO,CA,94112",2026-04-01,
055175,LAWTON SKILLED NURSING & REHABILITATION CENTER,1575 7TH AVENUE,SAN FRANCISCO,CA,94122,"1575 7TH AVENUE,SAN FRANCISCO,CA,94122",2026-04-01,
055181,SAN GABRIEL CONV CENTER,8035 E HILL DRIVE,ROSEMEAD,CA,91770,"8035 E HILL DRIVE,ROSEMEAD,CA,91770",2026-04-01,
055182,LEMON GROVE CARE AND REHABILITATION CENTER,8351 BROADWAY,LEMON GROVE,CA,91945,"8351 BROADWAY,LEMON GROVE,CA,91945",2026-04-01,
055187,GARDEN VIEW POST ACUTE REHABILITATION,14475 GARDEN VIEW LANE,BALDWIN PARK,CA,91706,"14475 GARDEN VIEW LANE,BALDWIN PARK,CA,91706",2026-04-01,
